N	// directed
N	// weighted
10	// vertex count
5	// edge count for vertex 1
6	// edge (1 to 6)
7	// edge (1 to 7)
8	// edge (1 to 8)
9	// edge (1 to 9)
10	// edge (1 to 10)
5	// edge count for vertex 2
6	// edge (2 to 6)
7	// edge (2 to 7)
8	// edge (2 to 8)
9	// edge (2 to 9)
10	// edge (2 to 10)
5	// edge count for vertex 3
6	// edge (3 to 6)
7	// edge (3 to 7)
8	// edge (3 to 8)
9	// edge (3 to 9)
10	// edge (3 to 10)
5	// edge count for vertex 4
6	// edge (4 to 6)
7	// edge (4 to 7)
8	// edge (4 to 8)
9	// edge (4 to 9)
10	// edge (4 to 10)
5	// edge count for vertex 5
6	// edge (5 to 6)
7	// edge (5 to 7)
8	// edge (5 to 8)
9	// edge (5 to 9)
10	// edge (5 to 10)
5	// edge count for vertex 6
1	// edge (6 to 1)
2	// edge (6 to 2)
3	// edge (6 to 3)
4	// edge (6 to 4)
5	// edge (6 to 5)
5	// edge count for vertex 7
1	// edge (7 to 1)
2	// edge (7 to 2)
3	// edge (7 to 3)
4	// edge (7 to 4)
5	// edge (7 to 5)
5	// edge count for vertex 8
1	// edge (8 to 1)
2	// edge (8 to 2)
3	// edge (8 to 3)
4	// edge (8 to 4)
5	// edge (8 to 5)
5	// edge count for vertex 9
1	// edge (9 to 1)
2	// edge (9 to 2)
3	// edge (9 to 3)
4	// edge (9 to 4)
5	// edge (9 to 5)
5	// edge count for vertex 10
1	// edge (10 to 1)
2	// edge (10 to 2)
3	// edge (10 to 3)
4	// edge (10 to 4)
5	// edge (10 to 5)
